,Date,HighTemp,LowTemp,AverageTemp,Precipitation,NauticalTwilightRise,NauticalTwilightSet
0,1/1/18,75,45,60,0,6:01,5:54
1,1/2/18,81,52,67,0,6:01,5:55
2,1/3/18,74,54,64,0,6:01,5:56
3,1/4/18,76,52,64,0,6:02,5:56
4,1/5/18,74,53,64,0,6:02,5:57
5,1/6/18,70,57,64,0,6:02,5:58
6,1/7/18,75,50,63,0,6:02,5:59
7,1/8/18,66,59,63,0.47,6:02,5:59
8,1/9/18,61,48,55,1.86,6:02,6:00
9,1/10/18,65,44,55,0,6:02,6:01
10,1/11/18,72,46,59,0,6:02,6:02
11,1/12/18,81,48,65,0,6:02,6:03
12,1/13/18,82,48,65,0,6:02,6:04
13,1/14/18,81,52,67,0,6:02,6:04
14,1/15/18,73,49,61,0,6:02,6:05
15,1/16/18,72,51,62,0,6:01,6:06
16,1/17/18,80,50,65,0,6:01,6:07
17,1/18/18,77,52,65,0,6:01,6:08
18,1/19/18,62,52,57,1.00E-16,6:01,6:09
19,1/20/18,60,48,54,0,6:01,6:10
20,1/21/18,63,39,51,0,6:00,6:10
21,1/22/18,70,42,56,0,6:00,6:11
22,1/23/18,74,42,58,0,6:00,6:12
23,1/24/18,74,45,60,0,5:59,6:13
24,1/25/18,61,44,53,0,5:59,6:14
25,1/26/18,68,42,55,0,5:58,6:15
26,1/27/18,73,43,58,0,5:58,6:16
27,1/28/18,86,54,70,0,5:57,6:17
28,1/29/18,85,61,73,0,5:57,6:18
29,1/30/18,81,57,69,0,5:56,6:19
30,1/31/18,82,49,66,0,5:55,6:20
31,2/1/18,85,51,68,0,5:54,6:21
32,2/2/18,82,51,67,0,5:54,6:22
33,2/3/18,82,51,67,0,5:53,6:23
34,2/6/18,78,51,65,0,5:52,6:25
35,2/7/18,82,49,66,0,5:51,6:26
36,2/8/18,84,50,67,0,5:50,6:27
37,2/9/18,76,52,64,0,5:49,6:28
38,2/10/18,64,53,59,0,5:49,6:28
39,2/12/18,61,49,55,0.02,5:47,6:30
40,2/13/18,65,45,55,0,5:46,6:31
41,2/14/18,67,52,60,1.00E-16,5:45,6:32
42,2/15/18,71,50,61,0,5:44,6:33
43,2/16/18,73,48,61,0,5:43,6:34
44,2/17/18,74,45,60,0,5:42,6:34
45,2/18/18,67,45,56,0,5:41,6:35
46,2/19/18,58,45,52,0,5:40,6:36
47,2/20/18,59,36,48,0,5:39,6:37
48,2/21/18,59,42,51,0,5:38,6:38
49,2/22/18,58,38,48,0,5:37,6:39
50,2/23/18,57,41,49,0,5:36,6:40
51,2/24/18,62,35,49,0,5:35,6:40
52,2/25/18,68,40,54,0,5:34,6:41
53,2/26/18,64,41,53,0.14,5:32,6:42
54,2/27/18,54,40,47,1.00E-16,5:31,6:43
55,2/28/18,60,37,49,0,5:30,6:44
56,3/1/18,61,43,52,1.00E-16,5:29,6:44
57,3/2/18,55,49,52,0.35,5:28,6:45
58,3/3/18,57,46,52,0.14,5:26,6:46
59,3/4/18,64,38,51,0,5:25,6:47
60,3/5/18,71,40,56,0,5:24,6:48
61,3/6/18,77,45,61,0,5:23,6:48
62,3/7/18,73,49,61,0,5:21,6:49
63,3/8/18,75,48,62,0,5:20,6:50
64,3/9/18,71,50,61,0,5:19,6:51
65,3/10/18,60,55,58,0.75,5:17,6:52
66,3/11/18,65,55,60,0.01,6:16,7:52
67,3/12/18,74,53,64,1.00E-16,6:15,7:53
68,3/13/18,67,57,62,0.17,6:13,7:54
69,3/14/18,62,52,57,0.23,6:12,7:55
70,3/15/18,65,49,57,0.53,6:11,7:56
71,3/16/18,59,49,54,0.07,6:09,7:56
72,3/17/18,59,48,54,0,6:08,7:57
73,3/18/18,62,42,52,0,6:06,7:58
74,3/19/18,73,45,59,0,6:05,7:59
75,3/20/18,70,53,62,0.02,6:04,8:00
76,3/21/18,61,53,57,0.63,6:02,8:00
77,3/22/18,61,54,58,0.74,6:01,8:01
78,3/23/18,67,54,61,0.02,5:59,8:02
79,3/24/18,64,50,57,0,5:58,8:03
80,3/25/18,62,50,56,0,5:56,8:04
81,3/26/18,70,48,59,0,5:55,8:04
82,3/27/18,77,50,64,0,5:54,8:05
83,3/28/18,76,49,63,0,5:52,8:06
84,3/29/18,79,53,66,0,5:51,8:07
85,3/30/18,84,54,69,0,5:49,8:08
86,4/1/18,71,54,63,0,5:46,8:09
87,4/2/18,67,55,61,0,5:45,8:10
88,4/3/18,72,53,63,0,5:43,8:11
89,4/4/18,71,51,61,0,5:42,8:12
90,4/5/18,71,55,63,0,5:41,8:13
91,4/6/18,72,55,64,0,5:39,8:14
92,4/7/18,74,57,66,0,5:38,8:14
93,4/8/18,77,55,66,0,5:36,8:15
94,4/9/18,95,54,75,0,5:35,8:16
95,4/10/18,90,61,76,0,5:33,8:17
96,4/11/18,79,57,68,0,5:32,8:18
97,4/12/18,67,53,60,0,5:31,8:19
98,4/13/18,81,56,69,0,5:29,8:20
99,4/14/18,85,53,69,0,5:28,8:21
100,4/15/18,78,53,66,0,5:26,8:22
101,4/16/18,66,50,58,0,5:25,8:22
102,4/17/18,71,49,60,0,5:24,8:23
103,4/18/18,72,50,61,0,5:22,8:24
104,4/19/18,64,48,56,1.00E-16,5:21,8:25
105,4/20/18,75,51,63,0,5:20,8:26
106,4/21/18,89,53,71,0,5:18,8:27
107,4/22/18,85,58,72,0,5:17,8:28
108,4/23/18,81,57,69,0,5:16,8:29
109,4/24/18,78,54,66,0,5:14,8:30
110,4/25/18,77,53,65,0,5:13,8:31
111,4/26/18,74,53,64,0,5:12,8:32
112,4/27/18,71,53,62,0,5:11,8:33
113,4/28/18,71,52,62,0,5:09,8:34
114,4/29/18,68,52,60,0,5:08,8:35
115,4/30/18,65,54,60,0,5:07,8:36
116,5/1/18,58,51,55,0.01,5:06,8:37
117,5/2/18,65,52,59,1.00E-16,5:05,8:38
118,5/3/18,74,52,63,0,5:03,8:39
119,5/4/18,90,56,73,0,5:02,8:39
120,5/5/18,93,63,78,0,5:01,8:40
121,5/6/18,86,62,74,0,5:00,8:41
122,5/7/18,80,56,68,0,4:59,8:42
123,5/9/18,82,57,70,0,4:57,8:44
124,5/10/18,79,58,69,0,4:56,8:45
125,5/11/18,62,57,60,1.00E-16,4:55,8:46
126,5/12/18,63,54,59,0.02,4:54,8:47
127,5/13/18,72,56,64,0,4:53,8:48
128,5/14/18,69,53,61,0,4:52,8:49
129,5/15/18,72,54,63,0,4:51,8:50
130,5/16/18,75,54,65,0,4:50,8:51
131,5/17/18,72,54,63,0,4:49,8:52
132,5/18/18,69,58,64,0,4:49,8:53
133,5/19/18,69,56,63,0,4:48,8:54
134,5/20/18,70,59,65,0,4:47,8:55
135,5/21/18,62,57,60,0.04,4:46,8:56
136,5/22/18,68,57,63,0,4:45,8:57
137,5/23/18,71,57,64,0,4:45,8:57
138,5/24/18,65,56,61,1.00E-16,4:44,8:58
139,5/25/18,68,56,62,0,4:43,8:59
140,5/26/18,69,53,61,0,4:43,9:00
141,5/27/18,75,54,65,0,4:42,9:01
142,5/28/18,82,54,68,0,4:42,9:02
143,5/29/18,77,58,68,0,4:41,9:02
144,5/30/18,67,57,62,0.04,4:41,9:03
145,5/31/18,70,59,65,0,4:40,9:04
146,6/1/18,77,55,66,0,4:40,9:05
147,6/2/18,82,59,71,0,4:39,9:05
148,6/3/18,87,60,74,0,4:39,9:06
149,6/4/18,81,58,70,0,4:39,9:07
150,6/5/18,74,59,67,0,4:38,9:07
151,6/6/18,76,58,67,0,4:38,9:08
152,6/7/18,78,57,68,0,4:38,9:09
153,6/8/18,86,59,73,0,4:37,9:09
154,6/9/18,83,62,73,0,4:37,9:10
155,6/10/18,81,61,71,0,4:37,9:10
156,6/11/18,87,62,75,0,4:37,9:11
157,6/12/18,88,63,76,0,4:37,9:11
158,6/13/18,89,62,76,0,4:37,9:12
159,6/14/18,93,61,77,0,4:37,9:12
160,6/15/18,84,61,73,0,4:37,9:13
161,6/16/18,70,60,65,0,4:37,9:13
162,6/17/18,68,59,64,0,4:37,9:13
163,6/18/18,73,58,66,0,4:37,9:14
164,6/19/18,79,57,68,0,4:37,9:14
165,6/20/18,85,59,72,0,4:37,9:14
166,6/21/18,83,63,73,0,4:38,9:14
167,6/22/18,84,63,74,0,4:38,9:15
168,6/23/18,75,62,69,0,4:38,9:15
169,6/24/18,77,60,69,0,4:38,9:15
170,6/25/18,83,60,72,0,4:39,9:15
171,6/26/18,84,60,72,0,4:39,9:15
172,6/27/18,84,60,72,0,4:39,9:15
173,6/28/18,80,60,70,0,4:40,9:15
174,6/29/18,79,66,73,0,4:40,9:15
175,7/1/18,82,63,73,0,4:41,9:15
176,7/2/18,83,62,73,0,4:42,9:15
177,7/3/18,79,62,71,0,4:42,9:14
178,7/4/18,83,61,72,0,4:43,9:14
179,7/5/18,99,61,80,0,4:43,9:14
180,7/6/18,114,72,93,0,4:44,9:14
181,7/7/18,105,82,94,0,4:44,9:13
182,7/8/18,98,79,89,0,4:45,9:13
183,7/9/18,99,75,87,0,4:46,9:13
184,7/10/18,91,73,82,0,4:46,9:12
185,7/11/18,93,71,82,0,4:47,9:12
186,7/12/18,92,71,82,0,4:48,9:11
187,7/13/18,91,69,80,0,4:48,9:11
188,7/14/18,91,68,80,0,4:49,9:10
189,7/15/18,91,69,80,0,4:50,9:10
190,7/16/18,89,67,78,0,4:51,9:09
191,7/17/18,86,66,76,0,4:52,9:09
192,7/18/18,89,67,78,0,4:52,9:08
193,7/19/18,89,68,79,0,4:53,9:07
194,7/20/18,85,68,77,0,4:54,9:07
195,7/21/18,88,66,77,0,4:55,9:06
196,7/22/18,94,67,81,0,4:56,9:05
197,7/23/18,98,72,85,0,4:57,9:04
198,7/24/18,99,73,86,0,4:57,9:04
199,7/25/18,97,73,85,0,4:58,9:03
200,7/26/18,90,69,80,0,4:59,9:02
201,7/27/18,94,68,81,0,5:00,9:01
202,7/28/18,88,67,78,0,5:01,9:00
203,7/29/18,97,69,83,0,5:02,8:59
204,7/30/18,94,73,84,0,5:03,8:58
205,7/31/18,96,71,84,0,5:04,8:57
206,8/1/18,95,72,84,0,5:05,8:56
207,8/2/18,92,72,82,0,5:06,8:55
208,8/3/18,93,71,82,0,5:06,8:54
209,8/4/18,92,69,81,0,5:07,8:53
210,8/5/18,91,68,80,0,5:08,8:52
211,8/6/18,100,69,85,0,5:09,8:51
212,8/7/18,100,72,86,0,5:10,8:50
213,8/8/18,96,70,83,0,5:11,8:49
214,8/9/18,101,72,87,0,5:12,8:47
215,8/10/18,93,74,84,0,5:13,8:46
216,8/11/18,90,73,82,0,5:14,8:45
217,8/12/18,88,70,79,0,5:15,8:44
218,8/13/18,88,67,78,0,5:16,8:43
219,8/14/18,85,66,76,0,5:17,8:41
220,8/15/18,88,67,78,0,5:17,8:40
221,8/16/18,88,68,78,0,5:18,8:39
222,8/17/18,89,70,80,0,5:19,8:37
223,8/18/18,88,69,79,0,5:20,8:36
224,8/19/18,89,67,78,0,5:21,8:35
225,8/20/18,84,68,76,0,5:22,8:33
226,8/21/18,85,68,77,0,5:23,8:32
227,8/22/18,87,68,78,0,5:24,8:31
228,8/23/18,87,65,76,0,5:25,8:29
229,8/24/18,83,64,74,0,5:25,8:28
230,8/25/18,83,64,74,0,5:26,8:27
231,8/26/18,83,63,73,0,5:27,8:25
232,8/27/18,81,63,72,0,5:28,8:24
233,8/28/18,81,63,72,0,5:29,8:22
234,8/29/18,88,65,77,0,5:30,8:21
235,8/30/18,91,63,77,0,5:30,8:20
236,8/31/18,86,63,75,0,5:31,8:18
237,9/1/18,82,63,73,0,5:32,8:17
238,9/2/18,81,65,73,0,5:33,8:15
239,9/3/18,82,66,74,0,5:34,8:14
240,9/4/18,80,64,72,0,5:34,8:12
241,9/5/18,80,65,73,0,5:35,8:11
242,9/6/18,81,64,73,0,5:36,8:09
243,9/7/18,90,62,76,0,5:37,8:08
244,9/8/18,96,65,81,0,5:38,8:06
245,9/9/18,92,66,79,0,5:38,8:05
246,9/10/18,86,65,76,0,5:39,8:03
247,9/11/18,82,65,74,0,5:40,8:02
248,9/12/18,83,64,74,0,5:41,8:00
249,9/13/18,89,61,75,0,5:41,7:59
250,9/14/18,93,63,78,0,5:42,7:57
251,9/15/18,87,63,75,0,5:43,7:56
252,9/16/18,89,61,75,0,5:44,7:55
253,9/17/18,88,59,74,0,5:44,7:53
254,9/18/18,86,57,72,0,5:45,7:52
255,9/19/18,83,57,70,0,5:46,7:50
256,9/20/18,85,59,72,0,5:47,7:49
257,9/21/18,84,63,74,0,5:47,7:47
258,9/22/18,93,61,77,0,5:48,7:46
259,9/23/18,84,63,74,0,5:49,7:44
260,9/24/18,78,60,69,0,5:50,7:43
261,9/25/18,77,59,68,0,5:50,7:41
262,9/26/18,88,60,74,0,5:51,7:40
263,9/27/18,88,62,75,0,5:52,7:38
264,9/28/18,85,62,74,0,5:52,7:37
265,9/29/18,81,63,72,0,5:53,7:36
266,9/30/18,85,58,72,0,5:54,7:34
267,10/1/18,90,67,79,0,5:55,7:33
268,10/2/18,79,67,73,0,5:55,7:31
269,10/3/18,74,65,70,0.01,5:56,7:30
270,10/4/18,75,61,68,0,5:57,7:29
271,10/5/18,75,60,68,0,5:57,7:27
272,10/6/18,74,61,68,0,5:58,7:26
273,10/7/18,75,58,67,0,5:59,7:25
274,10/8/18,75,56,66,0,6:00,7:23
275,10/9/18,74,60,67,0,6:00,7:22
276,10/10/18,72,60,66,0,6:01,7:21
277,10/11/18,74,55,65,0,6:02,7:20
278,10/12/18,83,55,69,0.23,6:03,7:18
279,10/13/18,70,60,65,0.07,6:03,7:17
280,10/14/18,71,60,66,0,6:04,7:16
281,10/15/18,79,56,68,0,6:05,7:15
282,10/16/18,85,52,69,0,6:06,7:13
283,10/17/18,82,52,67,0,6:06,7:12
284,10/18/18,86,53,70,0,6:07,7:11
285,10/19/18,88,58,73,0,6:08,7:10
286,10/20/18,88,58,73,0,6:09,7:09
287,10/21/18,80,57,69,0,6:10,7:08
288,10/22/18,77,58,68,0,6:10,7:07
289,10/23/18,78,57,68,0,6:11,7:06
290,10/24/18,79,57,68,0,6:12,7:05
291,10/25/18,81,57,69,0,6:13,7:03
292,10/26/18,91,56,74,0,6:13,7:02
293,10/27/18,88,57,73,0,6:14,7:02
294,10/28/18,85,56,71,0,6:15,7:01
295,10/29/18,79,54,67,0,6:16,7:00
296,10/30/18,75,57,66,0,6:17,6:59
297,10/31/18,80,53,67,0,6:18,6:58
298,11/1/18,82,54,68,0,6:18,6:57
299,11/2/18,87,57,72,0,6:19,6:56
300,11/3/18,87,56,72,0,6:20,6:55
301,11/4/18,85,59,72,0,5:21,5:55
302,11/5/18,77,52,65,0,5:22,5:54
303,11/6/18,75,59,67,0,5:23,5:53
304,11/7/18,71,56,64,0,5:23,5:52
305,11/8/18,80,54,67,0,5:24,5:52
306,11/9/18,80,54,67,0,5:25,5:51
307,11/10/18,77,45,61,0,5:26,5:50
308,11/11/18,76,43,60,0,5:27,5:50
309,11/12/18,76,44,60,0,5:28,5:49
310,11/13/18,73,44,59,0,5:29,5:49
311,11/14/18,78,52,65,0,5:29,5:48
312,11/15/18,81,47,64,0,5:30,5:47
313,11/16/18,75,48,62,0,5:31,5:47
314,11/17/18,71,50,61,0,5:32,5:47
315,11/18/18,75,50,63,0,5:33,5:46
316,11/19/18,72,49,61,0,5:34,5:46
317,11/20/18,73,47,60,0,5:35,5:45
318,11/21/18,69,49,59,0.1,5:35,5:45
319,11/22/18,67,53,60,0.14,5:36,5:45
320,11/23/18,70,47,59,0,5:37,5:44
321,11/24/18,69,50,60,0,5:38,5:44
322,11/25/18,75,49,62,0,5:39,5:44
323,11/26/18,77,49,63,0,5:40,5:44
324,11/27/18,75,50,63,0,5:40,5:44
325,11/28/18,66,48,57,0.02,5:41,5:43
326,11/29/18,62,52,57,0.81,5:42,5:43
327,11/30/18,65,49,57,0,5:43,5:43
328,12/1/18,64,46,55,0,5:44,5:43
329,12/2/18,62,47,55,0,5:45,5:43
330,12/3/18,66,47,57,0,5:45,5:43
331,12/4/18,69,46,58,0,5:46,5:43
332,12/5/18,58,49,54,0.44,5:47,5:43
333,12/6/18,52,46,49,2.15,5:48,5:43
334,12/7/18,68,46,57,0,5:48,5:43
335,12/8/18,70,45,58,0,5:49,5:44
336,12/9/18,70,47,59,0,5:50,5:44
337,12/10/18,67,51,59,0,5:50,5:44
338,12/11/18,70,46,58,0,5:51,5:44
339,12/12/18,65,44,55,0,5:52,5:44
340,12/13/18,75,43,59,0,5:52,5:45
341,12/14/18,67,50,59,0,5:53,5:45
342,12/15/18,74,43,59,0,5:54,5:45
343,12/16/18,72,44,58,0,5:54,5:46
344,12/17/18,65,51,58,1.00E-16,5:55,5:46
345,12/18/18,68,47,58,0,5:55,5:46
346,12/19/18,77,45,61,0,5:56,5:47
347,12/20/18,79,46,63,0,5:56,5:47
348,12/21/18,71,51,61,0,5:57,5:48
349,12/22/18,71,45,58,0,5:57,5:48
350,12/23/18,68,44,56,0,5:58,5:49
351,12/24/18,67,44,56,0.01,5:58,5:49
352,12/25/18,64,51,58,0,5:59,5:50
353,12/26/18,65,48,57,0,5:59,5:50
354,12/27/18,65,41,53,0,5:59,5:51
355,12/28/18,60,44,52,0,6:00,5:51
356,12/29/18,60,35,48,0,6:00,5:52
357,12/30/18,63,38,51,0,6:00,5:53
358,12/31/18,62,42,52,0,6:01,5:53